2021-09-13 17:02:48 Daemon died, spawning replacement...
2021-09-13 17:02:49 Daemon died, spawning replacement...
2021-09-13 17:02:50 chartsDataCollector died, spawning replacement...
2021-09-13 17:02:51 Daemon died, spawning replacement...
2021-09-13 17:02:52 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:02:53 Daemon died, spawning replacement...
2021-09-13 17:02:53 API died, spawning replacement...
2021-09-13 17:02:53 chartsDataCollector died, spawning replacement...
2021-09-13 17:02:54 Daemon died, spawning replacement...
2021-09-13 17:02:54 Daemon died, spawning replacement...
2021-09-13 17:02:55 Daemon died, spawning replacement...
2021-09-13 17:02:57 Daemon died, spawning replacement...
2021-09-13 17:02:57 chartsDataCollector died, spawning replacement...
2021-09-13 17:02:58 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:02:58 Daemon died, spawning replacement...
2021-09-13 17:02:59 API died, spawning replacement...
2021-09-13 17:02:59 Daemon died, spawning replacement...
2021-09-13 17:03:00 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:00 Daemon died, spawning replacement...
2021-09-13 17:03:01 Daemon died, spawning replacement...
2021-09-13 17:03:03 Daemon died, spawning replacement...
2021-09-13 17:03:03 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:04 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:03:04 Daemon died, spawning replacement...
2021-09-13 17:03:05 API died, spawning replacement...
2021-09-13 17:03:05 Daemon died, spawning replacement...
2021-09-13 17:03:06 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:06 Daemon died, spawning replacement...
2021-09-13 17:03:07 Daemon died, spawning replacement...
2021-09-13 17:03:09 Daemon died, spawning replacement...
2021-09-13 17:03:09 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:10 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:03:10 Daemon died, spawning replacement...
2021-09-13 17:03:11 API died, spawning replacement...
2021-09-13 17:03:11 Daemon died, spawning replacement...
2021-09-13 17:03:12 Daemon died, spawning replacement...
2021-09-13 17:03:12 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:13 Daemon died, spawning replacement...
2021-09-13 17:03:15 Daemon died, spawning replacement...
2021-09-13 17:03:16 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:03:16 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:16 Daemon died, spawning replacement...
2021-09-13 17:03:16 API died, spawning replacement...
2021-09-13 17:03:17 Daemon died, spawning replacement...
2021-09-13 17:03:17 Daemon died, spawning replacement...
2021-09-13 17:03:18 Daemon died, spawning replacement...
2021-09-13 17:03:19 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:20 Daemon died, spawning replacement...
2021-09-13 17:03:22 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:03:22 Daemon died, spawning replacement...
2021-09-13 17:03:23 API died, spawning replacement...
2021-09-13 17:03:23 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:23 Daemon died, spawning replacement...
2021-09-13 17:03:23 Daemon died, spawning replacement...
2021-09-13 17:03:24 Daemon died, spawning replacement...
2021-09-13 17:03:26 Daemon died, spawning replacement...
2021-09-13 17:03:26 chartsDataCollector died, spawning replacement...
2021-09-13 17:03:27 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:03:28 Daemon died, spawning replacement...
